cve_institucion,cve_periodo,cve_destino_credito,cve_tipo_moneda,responsabilidad,tasa,plazo
040021,201612,24,0,82966511,8.325417856,30.50461672
040021,201612,25,0,757689816,7.614738302,8.726979548
040021,201612,26,0,53318958,8.42729678,47.06792244
040021,201612,26,1,556112879,4.06,7
040021,201612,27,0,86104467656,8.696747426,25.90286523
040021,201612,27,1,36097573707,3.865436449,18.29648889
040021,201612,32,0,2261752609,5.993818051,19.11758883
040036,201512,22,0,27906528,14.19944764,31.89249429
040036,201512,27,0,90239671510,6.833239485,114.4005073
040036,201512,27,1,61165884481,4.800904165,50.97738745
040036,201612,22,0,4915695736,9.545624174,130.1300316
040036,201612,22,1,15075968878,6.8902,65.9001
040036,201612,27,0,78241031848,8.47976123,126.4729438
040036,201612,27,1,79028918904,4.984812956,70.85512602
040044,201512,0,0,48856358,5.31,5.31
040044,201512,21,0,10956697743,5.794311796,37.12898538
040044,201512,21,1,2062527557,3.638191064,33.09932539
040044,201512,22,0,11674091181,5.640452323,44.82707795
040044,201512,22,1,2655428921,3.248631135,37.87638505
040044,201512,25,0,1270525640,6.661116355,5.01349576
040044,201512,25,1,385787419,3.43,51
040044,201512,26,0,1985406245,6.426258436,39.57294302
040044,201512,26,1,464407316,3.363569075,38.86511568
040044,201512,27,0,32366418983,5.363791479,38.30222095
040044,201512,27,1,10747823859,2.100317407,49.91800948
040044,201512,28,0,913084250,6.722418814,0.787525133
040044,201512,28,1,21050513,5.1351,0
040044,201512,29,0,31005934,5.961425391,3.671427022
040044,201512,30,0,15002312,5.55,0
040044,201512,32,0,2269910053,4.405356136,1.746452181
040044,201512,32,1,55795920,5.9095,18
040044,201612,0,0,35451589,7.57,7.57
040044,201612,21,0,12037145990,8.012798197,36.45276897
040044,201612,21,1,3295081769,4.047899198,24.11638615
040044,201612,22,0,27009248904,7.525088072,49.61235721
040044,201612,22,1,4906019537,3.659395591,42.22465526
040044,201612,25,0,937205918,9.178183471,10.86336548
040044,201612,25,1,437296797,3.8,39
040044,201612,26,0,1591751397,8.144042604,42.27692412
040044,201612,26,1,472497292,3.973094311,27.18391513
040044,201612,27,0,33788384348,7.863503676,33.60202254
040044,201612,27,1,7330782766,3.508261715,36.73373439
040044,201612,28,0,1009550803,9.124816302,0.510619596
040044,201612,28,1,19024293,5.9816,0
040044,201612,29,0,17865801,8.60344519,0.005687906
040044,201612,30,0,15040534,8.11,0
